casino,month,year,table_games_win,slot_win,total_casino_win
CAESARS ATLANTIC CITY,July,2024,4811533,15154687,19966220
CAESARS ATLANTIC CITY,August,2024,6221904,17793071,24014975
CAESARS ATLANTIC CITY,September,2024,6845613,13680240,20525853
CAESARS ATLANTIC CITY,October,2024,2815347,12176963,14992310
CAESARS ATLANTIC CITY,November,2024,3884356,12578906,16463262
CAESARS ATLANTIC CITY,December,2024,6808859,12204969,19013828
CAESARS ATLANTIC CITY,January,2025,3251314,10422743,13674057
CAESARS ATLANTIC CITY,February,2025,3454473,10526271,13980744
CAESARS ATLANTIC CITY,March,2025,3916416,12745041,16661457
CAESARS ATLANTIC CITY,April,2025,2951448,11701617,14653065
CAESARS ATLANTIC CITY,May,2025,5986862,13878677,19865539
CAESARS ATLANTIC CITY,June,2025,7078158,13381573,20459731
CAESARS ATLANTIC CITY,July,2025,3276024,15513701,18789725
CAESARS ATLANTIC CITY,August,2025,6473351,18290952,24764303
CAESARS ATLANTIC CITY,September,2025,3682585,12941796,16624381
CAESARS ATLANTIC CITY,October,2025,4346469,11671513,16017982
CAESARS ATLANTIC CITY,November,2025,1644516,10814708,12459224
CAESARS ATLANTIC CITY,December,2025,5347352,10567583,15914935
GOLDEN NUGGET,January,2022,2110628,8300505,10411133
GOLDEN NUGGET,February,2022,2784819,10179540,12964359
GOLDEN NUGGET,March,2022,2582153,10036950,12619103
GOLDEN NUGGET,April,2022,1742904,10569197,12312101
GOLDEN NUGGET,May,2022,1874567,10916040,12790607
GOLDEN NUGGET,June,2022,2633728,9937643,12571371
GOLDEN NUGGET,July,2022,2346547,12140463,14487010
GOLDEN NUGGET,August,2022,2430451,10510241,12940692
GOLDEN NUGGET,September,2022,2942102,10555975,13498077
GOLDEN NUGGET,October,2022,2396217,9632470,12028687
GOLDEN NUGGET,November,2022,2069186,9245698,11314884
GOLDEN NUGGET,December,2022,1712146,9181144,10893290
GOLDEN NUGGET,January,2023,1896887,9095512,10992399
GOLDEN NUGGET,February,2023,1624567,9539425,11163992
GOLDEN NUGGET,March,2023,2272533,9993968,12266501
GOLDEN NUGGET,April,2023,2962265,10165679,13127944
GOLDEN NUGGET,May,2023,2344978,10312733,12657711
GOLDEN NUGGET,June,2023,1657147,10163113,11820260
GOLDEN NUGGET,July,2023,2546267,11449306,13995573
GOLDEN NUGGET,August,2023,1987400,11166376,13153776
GOLDEN NUGGET,September,2023,2225569,10447663,12673232
GOLDEN NUGGET,October,2023,2288563,9933275,12221838
GOLDEN NUGGET,November,2023,2090878,8911216,11002094
GOLDEN NUGGET,December,2023,1463642,9570018,11033660
GOLDEN NUGGET,January,2024,1933267,8970456,10903723
GOLDEN NUGGET,February,2024,2062375,9544468,11606843
GOLDEN NUGGET,March,2024,3467216,10200276,13667492
GOLDEN NUGGET,April,2024,2746176,9973645,12719821
GOLDEN NUGGET,May,2024,3376817,10174926,13551743
GOLDEN NUGGET,June,2024,2318911,10193114,12512025
GOLDEN NUGGET,July,2024,3242758,10855902,14098660
GOLDEN NUGGET,August,2024,3475136,11154945,14630081
GOLDEN NUGGET,September,2024,2154830,8932225,11087055
GOLDEN NUGGET,October,2024,1430740,8269252,9699992
GOLDEN NUGGET,November,2024,3381160,8360505,11741665
GOLDEN NUGGET,December,2024,2419937,8503153,10923090
GOLDEN NUGGET,January,2025,2654916,7559172,10214088
GOLDEN NUGGET,February,2025,2195293,8258662,10453955
GOLDEN NUGGET,March,2025,2281692,9495220,11776912
