casino,month,year,monthly_retail_sports_win,monthly_internet_sports_win,total_sports_win
RESORTS CASINO HOTEL,May,2025,233358,3249255,3482613
RESORTS CASINO HOTEL,June,2025,48634,25840363,25888997
RESORTS CASINO HOTEL,July,2025,70354,3304984,3375338
RESORTS CASINO HOTEL,August,2025,34288,30597295,30631583
RESORTS CASINO HOTEL,September,2025,1091,5071557,5072648
RESORTS CASINO HOTEL,October,2025,133537,3223411,3356948
RESORTS CASINO HOTEL,November,2025,91612,1282697,1374309
RESORTS CASINO HOTEL,December,2025,94878,6564061,6658939
TROPICANA CASINO & RESORT,February,2023,8219,,8219
TROPICANA CASINO & RESORT,February,2023,,296470,296470
TROPICANA CASINO & RESORT,March,2023,,224960,224960
TROPICANA CASINO & RESORT,April,2023,,65151,65151
TROPICANA CASINO & RESORT,May,2023,,977088,977088
TROPICANA CASINO & RESORT,June,2023,39544,,39544
TROPICANA CASINO & RESORT,June,2023,,50259,50259
TROPICANA CASINO & RESORT,July,2023,21908,,21908
TROPICANA CASINO & RESORT,July,2023,,615389,615389
TROPICANA CASINO & RESORT,August,2023,4085,,4085
TROPICANA CASINO & RESORT,September,2023,16457,,16457
TROPICANA CASINO & RESORT,October,2023,117108,,117108
TROPICANA CASINO & RESORT,October,2023,,373938,373938
TROPICANA CASINO & RESORT,November,2023,9580,,9580
TROPICANA CASINO & RESORT,November,2023,,589049,589049
TROPICANA CASINO & RESORT,December,2023,34878,,34878
TROPICANA CASINO & RESORT,December,2023,,781892,781892
TROPICANA CASINO & RESORT,January,2024,199942,,199942
TROPICANA CASINO & RESORT,January,2024,,2304322,2304322
TROPICANA CASINO & RESORT,February,2024,10387,,10387
TROPICANA CASINO & RESORT,February,2024,,50025,50025
TROPICANA CASINO & RESORT,March,2024,54559,,54559
TROPICANA CASINO & RESORT,March,2024,,10127,10127
TROPICANA CASINO & RESORT,April,2024,6923,,6923
TROPICANA CASINO & RESORT,April,2024,,1369070,1369070
TROPICANA CASINO & RESORT,May,2024,8862,,8862
TROPICANA CASINO & RESORT,May,2024,,537769,537769
TROPICANA CASINO & RESORT,June,2024,2827,,2827
TROPICANA CASINO & RESORT,June,2024,,11644,11644
TROPICANA CASINO & RESORT,July,2024,5097,,5097
TROPICANA CASINO & RESORT,July,2024,,914938,914938
TROPICANA CASINO & RESORT,August,2024,153691,,153691
TROPICANA CASINO & RESORT,August,2024,,2588968,2588968
TROPICANA CASINO & RESORT,September,2024,71781,,71781
TROPICANA CASINO & RESORT,October,2024,49759,,49759
TROPICANA CASINO & RESORT,November,2024,49029,,49029
TROPICANA CASINO & RESORT,December,2024,13389,,13389
TROPICANA CASINO & RESORT,January,2025,2758,,2758
TROPICANA CASINO & RESORT,February,2025,46622,,46622
TROPICANA CASINO & RESORT,March,2025,3863,,3863
TROPICANA CASINO & RESORT,April,2025,110789,,110789
TROPICANA CASINO & RESORT,May,2025,2057,,2057
TROPICANA CASINO & RESORT,June,2025,136527,,136527
TROPICANA CASINO & RESORT,October,2025,112935,,112935
TROPICANA CASINO & RESORT,December,2025,185206,,185206
TROPICANA CASINO & RESORT,July,2025,7687,,7687
TROPICANA CASINO & RESORT,August,2025,194665,,194665
TROPICANA CASINO & RESORT,September,2025,83390,,83390
TROPICANA CASINO & RESORT,November,2025,171005,,171005
TROPICANA CASINO & RESORT,January,2022,283998,,283998
TROPICANA CASINO & RESORT,January,2022,,1335049,1335049
TROPICANA CASINO & RESORT,February,2022,27586,,27586
TROPICANA CASINO & RESORT,February,2022,,,0
TROPICANA CASINO & RESORT,March,2022,128187,,128187
TROPICANA CASINO & RESORT,April,2022,107379,,107379
TROPICANA CASINO & RESORT,April,2022,,1395267,1395267
TROPICANA CASINO & RESORT,May,2022,105363,,105363
TROPICANA CASINO & RESORT,May,2022,,1108759,1108759
TROPICANA CASINO & RESORT,June,2022,100328,,100328
TROPICANA CASINO & RESORT,June,2022,,3104551,3104551
TROPICANA CASINO & RESORT,July,2022,7586,,7586
TROPICANA CASINO & RESORT,July,2022,,502415,502415
TROPICANA CASINO & RESORT,August,2022,176688,,176688
TROPICANA CASINO & RESORT,August,2022,,703711,703711
TROPICANA CASINO & RESORT,September,2022,300611,,300611
TROPICANA CASINO & RESORT,September,2022,,6107359,6107359
TROPICANA CASINO & RESORT,October,2022,388322,,388322
TROPICANA CASINO & RESORT,November,2022,160016,,160016
TROPICANA CASINO & RESORT,December,2022,152757,,152757
TROPICANA CASINO & RESORT,January,2023,67643,,67643
TROPICANA CASINO & RESORT,January,2023,,42042,42042
TROPICANA CASINO & RESORT,March,2023,95308,,95308
TROPICANA CASINO & RESORT,April,2023,7488,,7488
TROPICANA CASINO & RESORT,May,2023,87633,,87633
